industry,name,description
Agriculture,Crop Production,"Cultivation of plants for food, fuel, fiber, and feed."
Agriculture,Livestock Farming,"Rearing of animals for meat, milk, wool, and leather."
Agriculture,Agricultural Equipment,Manufacturing and sale of machinery used in farming.
Agriculture,Agri-Tech,Application of technology in agriculture for enhancing yield and efficiency.
Agriculture,Aquaculture,"Breeding, rearing, and harvesting of fish, shellfish, and aquatic plants."
Automotive,Vehicle Manufacturing,"Designing and building cars, motorcycles, and trucks."
Automotive,Auto Parts Suppliers,Production of components used in vehicle assembly.
Automotive,Auto Retail and Dealerships,Selling new and used vehicles to consumers.
Automotive,Electric Vehicles,Specializing in the production of battery-operated cars.
Automotive,Autonomous Vehicles,Developing self-driving technology for transportation.
Finance,Banking,"Providing financial services such as loans, deposits, and investments."
Finance,Investment Services,Offering advisory and wealth management services.
Finance,Insurance,Providing risk management through insurance policies.
Finance,Fintech,Using technology to improve or automate financial services.
Finance,Capital Markets,Facilitating the buying and selling of securities and commodities.
Construction,Residential Building,Construction of homes and apartments.
Construction,Commercial Building,"Building of offices, shops, and other commercial properties."
Construction,Infrastructure,"Development of large-scale public works, like roads and bridges."
Construction,Civil Engineering,Design and construction of public and private-sector works.
Construction,Construction Equipment,Supplying the machinery and tools used in construction projects.
Education,Primary & Secondary Schools,Institutions for foundational education typically for children and adolescents.
Education,Higher Education,Universities and colleges offering undergraduate to postgraduate education.
Education,Vocational Training,Educational programs focused on practical and work-oriented training.
Education,E-Learning,Digital platforms offering online courses and educational content.
Education,Educational Products,Companies that produce and sell educational materials and technologies.
Energy,Oil & Gas,"Exploration, extraction, and processing of petroleum and natural gas."
Energy,Renewable Energy,"Generation of energy from renewable resources like wind, solar, and hydro."
Energy,Nuclear Energy,Production of energy through nuclear reactions.
Energy,Energy Efficiency,Products and services aimed at reducing energy consumption.
Energy,Utilities,"Providers of electricity, gas, water, and other basic energy services."
Entertainment,Film & Television,Production and distribution of movies and television shows.
Entertainment,Music,"Production, distribution, and promotion of music and music-related events."
Entertainment,Publishing,"The sector involves publishing books, magazines, and other written content."
Entertainment,Video Gaming,"Developing, publishing, and distribution of video games."
Entertainment,Live Performances,Production and hosting of live entertainment events such as theater and concerts.
Healthcare,Hospitals,Institutions providing patient treatment with specialized medical and nursing staff.
Healthcare,Pharmaceuticals,Companies that produce and sell medicinal drugs.
Healthcare,Medical Devices,Development and manufacturing of devices used in healthcare.
Healthcare,Health Insurance,Financial services covering medical expenses for individuals.
Healthcare,Biotechnology,Companies that use living systems and organisms to develop new products.
Information Technology,Software Development,"Companies that create, maintain, and publish software."
Information Technology,Hardware Manufacturing,Production of physical computer and technology components.
Information Technology,IT Services,Firms offering technology consulting and services.
Information Technology,Cloud Computing,Providers of networked online storage and computing resources.
Information Technology,Cybersecurity,"Protection of internet-connected systems, including hardware, software, and data, from cyberattacks."
Manufacturing,Consumer Goods,"Production of goods used by consumers, such as electronics and apparel."
Manufacturing,Heavy Industry,"Manufacturing of large items like vehicles, machinery, and industrial equipment."
Manufacturing,Chemicals,Companies that produce industrial chemicals.
Manufacturing,Textiles,"Firms involved in the production of fibers, fabrics, and clothing."
Manufacturing,Food Production,Processing and packaging of food products.
Retail,E-Commerce,Online retailing of goods and services.
Retail,Brick-and-Mortar Stores,Physical locations selling a variety of consumer products.
Retail,Specialty Stores,"Retailers focused on specific product categories, like clothing or electronics."
Retail,Supermarkets,Large stores offering a wide variety of food and household products.
Retail,Department Stores,Large establishments offering a wide range of products under one roof.
Telecommunications,Mobile Network Operators,Companies providing wireless communication services.
Telecommunications,Internet Service Providers,Firms offering access to the Internet and related services.
